type,classification,Closed PnL
Consistent,Extreme Greed,61.76984024662939
Consistent,Fear,27.882915847082906
Consistent,Greed,36.935366020669285
Consistent,Neutral,0.027119999999999995
Inconsistent,Extreme Greed,-2.773933286406529
Inconsistent,Fear,50.887050894368386
Inconsistent,Greed,89.36269110931875
Inconsistent,Neutral,22.24838337182901
