classification,count,mean,median,std,min,max
Extreme Greed,6962,25.418772159436944,0.0,306.1669373872389,-21524.4,2500.9575
Fear,133871,50.047621894017375,0.0,909.121795680177,-35681.74723,135329.0901
Greed,36289,87.8948589207749,0.0,1148.343967656218,-117990.1041,44223.45187
Neutral,7141,22.229712656210616,0.0,633.7048150995175,-18360.67007,18282.19011
